index,PLAYER_ID,PLAYER_NAME,AST_mean,AST_std
93,959,Steve Nash,10.073529411764707,3.8769611028800575
438,101108,Chris Paul,9.268709907341412,3.473118325400699
1244,1629027,Trae Young,8.940677966101696,3.3475517404824666
713,202322,John Wall,8.787794729542302,3.454170706394896
609,201566,Russell Westbrook,8.23360655737705,3.7379746626300108
47,467,Jason Kidd,7.905638665132336,3.657934745454817
1246,1629029,Luka Doncic,7.87905604719764,3.456424126951166
523,200765,Rajon Rondo,7.850515463917525,4.361560151685222
444,101114,Deron Williams,7.807653575025176,3.871715808168725
1070,1627732,Ben Simmons,7.515669515669516,3.0169349714398255
184,1884,Baron Davis,7.5067796610169495,3.2946612371891755
661,201937,Ricky Rubio,7.426183844011142,3.3543800845119534
1357,1630169,Tyrese Haliburton,7.398843930635838,3.741253185754654
1289,1629630,Ja Morant,7.308943089430894,2.7807797505803586
338,2544,LeBron James,7.176064441887227,2.987608671375353
1351,1630163,LaMelo Ball,6.879194630872483,3.134189734675288
82,947,Allen Iverson,6.735357917570499,3.126921553896934
659,201935,James Harden,6.690537084398977,3.872836284787755
825,203081,Damian Lillard,6.490521327014218,2.7525302003241423
85,950,Stephon Marbury,6.459948320413437,3.3531862501821132
663,201939,Stephen Curry,6.366290018832392,2.826179148485597
1295,1629636,Darius Garland,6.366071428571429,3.5484994257076155
673,201950,Jrue Holiday,6.309929789368105,3.0892402490500257
1004,203999,Nikola Jokic,6.209375,3.485257067012587
526,200768,Kyle Lowry,6.116222760290557,3.1200099315474774
1138,1628366,Lonzo Ball,6.107407407407408,2.9581248363037043
1140,1628368,De'Aaron Fox,6.077333333333334,2.920862324749766
1436,1630581,Josh Giddey,6.067415730337078,2.7419209955173462
116,1497,Chauncey Billups,6.008284023668639,2.9652293877672564
189,1889,Andre Miller,5.908520179372197,3.3196911369027755
674,201951,Ty Lawson,5.8187599364069955,3.4941576882332437
345,2551,T.J. Ford,5.765199161425577,3.1368313195098825
956,203901,Elfrid Payton,5.664192949907235,3.3953332623913566
127,1510,Brevin Knight,5.645238095238096,4.047492660963089
183,1883,Steve Francis,5.602649006622516,2.80975867113452
563,201144,Mike Conley,5.592233009708738,2.734353440427542
278,2225,Tony Parker,5.590334572490707,2.7952545817274737
1439,1630595,Cade Cunningham,5.5875,2.622655674084977
766,202681,Kyrie Irving,5.5431266846361185,2.678479221385698
666,201943,Brandon Jennings,5.53074433656958,3.134974417604704
485,101181,Jose Calderon,5.529761904761905,3.770621176209008
1026,1626156,D'Angelo Russell,5.5239043824701195,2.8778225396437063
852,203110,Draymond Green,5.481848184818482,3.5808703835518836
675,201952,Jeff Teague,5.344364012409514,3.4163058614523085
277,2224,Jamaal Tinsley,5.303296703296703,3.235317582047731
608,201565,Derrick Rose,5.291201982651796,2.8763965286743347
14,208,Sam Cassell,5.281725888324873,3.1581424414355967
342,2548,Dwyane Wade,5.241724403387221,2.7376418689394773
171,1747,Rafer Alston,5.157360406091371,2.814720831577761
774,202689,Kemba Walker,5.150602409638554,2.4357051274295722
405,2749,Jameer Nelson,5.096579476861167,2.774275509468804
