index,PLAYER_ID,PTS,PLAYER_NAME
561,201142,27.07453936348409,Kevin Durant
1246,1629029,26.941002949852507,Luka Doncic
338,2544,26.834292289988493,LeBron James
100,977,26.621463414634146,Kobe Bryant
82,947,25.863340563991322,Allen Iverson
992,203954,25.60722891566265,Joel Embiid
1286,1629627,25.049586776859503,Zion Williamson
1244,1629027,25.03954802259887,Trae Young
825,203081,24.35308056872038,Damian Lillard
663,201939,24.318267419962336,Stephen Curry
659,201935,24.262574595055412,James Harden
1147,1628378,24.220689655172414,Donovan Mitchell
820,203076,23.647382920110193,Anthony Davis
1033,1626164,23.475265017667844,Devin Booker
766,202681,22.86522911051213,Kyrie Irving
1027,1626157,22.530054644808743,Karl-Anthony Towns
926,203507,22.280548628428928,Giannis Antetokounmpo
609,201566,22.278688524590162,Russell Westbrook
340,2546,22.169467787114847,Carmelo Anthony
1289,1629630,22.13821138211382,Ja Morant
822,203078,21.70997375328084,Bradley Beal
342,2548,21.633564280215552,Dwyane Wade
1141,1628369,21.563636363636363,Jayson Tatum
283,2240,21.34639175257732,Gilbert Arenas
153,1717,20.997744360902256,Dirk Nowitzki
245,2072,20.571153846153845,Michael Redd
665,201942,20.51822222222222,DeMar DeRozan
1350,1630162,20.510204081632654,Anthony Edwards
722,202331,20.269565217391303,Paul George
1004,203999,19.934375,Nikola Jokic
295,2397,19.74945533769063,Yao Ming
953,203897,19.471869328493646,Zach LaVine
776,202691,19.33371958285052,Klay Thompson
657,201933,19.19377162629758,Blake Griffin
780,202695,19.178100263852244,Kawhi Leonard
301,2405,19.146924829157175,Amar'e Stoudemire
898,203468,19.079889807162534,CJ McCollum
717,202326,19.07262569832402,DeMarcus Cousins
1214,1628983,19.023255813953487,Shai Gilgeous-Alexander
774,202689,18.99277108433735,Kemba Walker
504,200746,18.96457990115321,LaMarcus Aldridge
1140,1628368,18.933333333333334,De'Aaron Fox
1232,1629012,18.90038314176245,Collin Sexton
1005,204001,18.75438596491228,Kristaps Porzingis
990,203952,18.728592162554428,Andrew Wiggins
121,1503,18.685314685314687,Tracy McGrady
341,2547,18.63107721639657,Chris Bosh
713,202322,18.59778085991678,John Wall
1393,1630224,18.462264150943398,Jalen Green
1080,1627742,18.34916864608076,Brandon Ingram
508,200750,18.184491978609625,Brandon Roy
1351,1630163,18.033557046979865,LaMelo Ball
192,1894,17.90066225165563,Corey Maggette
438,101108,17.880256593014966,Chris Paul
154,1718,17.85256950294861,Paul Pierce
608,201565,17.845105328376704,Derrick Rose
794,202710,17.725352112676056,Jimmy Butler
1287,1629628,17.725099601593627,RJ Barrett
985,203944,17.616915422885572,Julius Randle
811,202738,17.556836902800658,Isaiah Thomas
1295,1629636,17.549107142857142,Darius Garland
184,1884,17.510169491525424,Baron Davis
1439,1630595,17.4375,Cade Cunningham
271,2216,17.432599118942733,Zach Randolph
1026,1626156,17.4203187250996,D'Angelo Russell
472,101145,17.323340471092077,Monta Ellis
86,951,17.321428571428573,Ray Allen
258,2202,17.31958762886598,Jason Richardson
114,1495,17.245299145299146,Tim Duncan
39,406,17.218370883882148,Shaquille O'Neal
148,1712,17.13797169811321,Antawn Jamison
188,1888,17.07566204287516,Richard Hamilton
856,203114,17.061197916666668,Khris Middleton
409,2755,17.00998751560549,Kevin Martin
1093,1627759,16.965201465201464,Jaylen Brown
610,201567,16.913361169102295,Kevin Love
925,203506,16.818011257035646,Victor Oladipo
1298,1629639,16.77431906614786,Tyler Herro
1087,1627750,16.705607476635514,Jamal Murray
321,2430,16.68266085059978,Carlos Boozer
263,2207,16.646788990825687,Joe Johnson
781,202696,16.603062426383982,Nikola Vucevic
85,950,16.560723514211887,Stephon Marbury
116,1497,16.45562130177515,Chauncey Billups
13,185,16.445652173913043,Chris Webber
256,2200,16.40583136327817,Pau Gasol
62,708,16.402737047898338,Kevin Garnett
23,275,16.35211267605634,Allan Houston
1245,1629028,16.219435736677116,Deandre Ayton
135,1536,16.218346253229974,Stephen Jackson
784,202699,16.218285714285713,Tobias Harris
101,978,16.161347517730498,Peja Stojakovic
451,101122,16.134615384615383,Danny Granger
444,101114,16.08157099697885,Deron Williams
278,2225,16.068401486988847,Tony Parker
612,201569,16.014541387024607,Eric Gordon
673,201950,15.984954864593782,Jrue Holiday
615,201572,15.964388835418672,Brook Lopez
183,1883,15.95364238410596,Steve Francis
1146,1628374,15.943452380952381,Lauri Markkanen
1105,1627783,15.918489065606362,Pascal Siakam
1411,1630532,15.915254237288135,Franz Wagner
510,200752,15.897306397306398,Rudy Gay
1079,1627741,15.869402985074627,Buddy Hield
1150,1628381,15.622589531680442,John Collins
1219,1628991,15.591269841269842,Jaren Jackson Jr.
1164,1628398,15.575757575757576,Kyle Kuzma
386,2730,15.545266067726331,Dwight Howard
93,959,15.501131221719458,Steve Nash
660,201936,15.495297805642632,Tyreke Evans
400,2744,15.318496538081108,Al Jefferson
4,84,15.294444444444444,Latrell Sprewell
611,201568,15.293478260869565,Danilo Gallinari
721,202330,15.281437125748504,Gordon Hayward
223,2037,15.208396946564886,Jamal Crawford
958,203903,15.199170124481327,Jordan Clarkson
978,203933,15.085790884718499,T.J. Warren
1299,1629640,15.004807692307692,Keldon Johnson
167,1740,15.004678362573099,Rashard Lewis
795,202711,14.936886395511921,Bojan Bogdanovic
1357,1630169,14.936416184971097,Tyrese Haliburton
1070,1627732,14.874643874643874,Ben Simmons
1096,1627763,14.834134615384615,Malcolm Brogdon
388,2732,14.832731648616125,Ben Gordon
1178,1628415,14.770348837209303,Dillon Brooks
